date,text
2022-12-23,МИД выразил обеспокоенность запретом талибов на обучение девушек в вузах 
2022-12-23,Военная академия ВКО имени Маршала Жукова в Твери отметила 65-летие 
2022-12-23,В Турции предрекли мощнейший ответ России на передачу Украине ЗРК Patriot 
2022-12-23,В Калужской области частично запретили летать над регионом 
2022-12-23,Дефицит электроэнергии в Киевской области составляет около 50 процентов 
2022-12-23,Украинские войска обстреляли из РСЗО Петровский район Донецка 
2022-12-23,Путин наградил посла в Белграде орденом Александра Невского 
2022-12-23,"Официальный курс доллара на выходные и понедельник упал до 68,68 рубля "
2022-12-23,Авиакомпания iFly отменила рейсы из России в Египет и обратно по 26 декабря 
2022-12-23,Украина вышла из соглашения о воздушном сообщении с Белоруссией 
2022-12-23,Российские военные уничтожили в ЛНР две группы украинских диверсантов 
2022-12-23,Российские войска нанесли удар по опорным пунктам ВСУ в районе Артемовска  
2022-12-23,Выходка Зеленского в США рассмешила американскую журналистку 
2022-12-23,В еще одной области Украины объявили воздушную тревогу 
2022-12-23,В Польше назвали срок запуска предоставленных Германией ЗРК Patriot 
2022-12-23,В российских вузах появится курс по основам военной подготовки 
2022-12-23,Офицер разведки США восхитился тактикой Путина по Украине 
2022-12-23,В украинских Черновцах демонтировали последний памятник Пушкину 
2022-12-23,В Петербурге появился памятник туристам 
2022-12-23,Украинские войска обстреляли два района Донецка 
2022-12-23,"Атаман казачьего войска навестил отряд ""Кубань"" в ДНР "
2022-12-23,Максимум за минимум: как выбрать смартфон в пределах 15 тысяч рублей?  
2022-12-23,Лавров ответил на упреки в адрес российских миротворцев в Карабахе 
2022-12-23,В Кремле подтвердили проведение саммита СНГ в Петербурге 26-27 декабря 
2022-12-23,Новикомбанк рассказал о финансовой поддержке рязанских предприятий 
2022-12-23,"Итоги года для российской IT-отрасли: обмани, но останься "
2022-12-23,"Космонавт рассказал, как экипаж МКС будет работать в новогодние праздники "
2022-12-23,Лавров: Россия не снимает вопрос встречи глав МИД Армении и Азербайджана 
2022-12-23,Правительство подготовило проект об упрощении порядка выплат Героям России 
2022-12-23,Украинские войска обстреляли Кировский район Донецка из РСЗО 
2022-12-23,Глава Евросовета заявил о необходимости сохранения контактов с Путиным 
2022-12-23,На развитие Арктики и ДФО направят 30 миллиардов рублей 
2022-12-23,Муфтий Москвы попросил мэрию выделить землю для мусульманских кладбищ 
2022-12-23,В Петрозаводске школьники досрочно уйдут на каникулы из-за гриппа и ОРВИ 
2022-12-23,Патриарх Кирилл попросил духовенство деликатно высказываться про УПЦ 
2022-12-23,Совфед ввел квоту на обучение в вузах героям спецоперации 
2022-12-23,"Правительство направит почти 1,5 триллиона рублей Пенсионному фонду "
2022-12-23,"Правительство выделит ""Кругу добра"" грант почти на 70 миллиардов рублей "
2022-12-23,Три человека погибли при стрельбе в Париже 
2022-12-23,Социальный фонд России получил логотип 
2022-12-23,Китай планирует смягчить карантинные требования для туристов 
2022-12-23,"При разработке внешней политики России учитывают стратегию НАТО, заявил МИД "
2022-12-23,СФ одобрил закон о блокировке счетов причастных к финансированию диверсий 
2022-12-23,Сотрудники антикоррупционного бюро Украины допрашивают мэра Одессы 
2022-12-23,Число погибших в ДТП под Тверью увеличилось до двух 
2022-12-23,Мост на улице Ботевградской открыли после капремонта в Саранске 
2022-12-23,Россияне назвали любимые новогодние блюда 
2022-12-23,Матвиенко призвала бизнес приобретать отечественные машины 
2022-12-23,Силовики начали проверку после отставки главы района Белгородской области 
2022-12-23,Ситимобил подтвердил утечку паспортных данных водителей 
2022-12-23,Климов призвал сузить возможности IT-гигантов манипулировать мнением людей 
2022-12-23,Власти в Мелитополе назвали взрыв автомобиля терактом 
2022-12-23,"В OMV изучают ситуацию с ограничениями для ""Газпрома"" на покупку газа у СП "
2022-12-23,В Кремле рассказали о единственном способе завершить спецоперацию 
2022-12-23,"Украинские войска обстреляли Майорск, Макеевку и Ясиноватую в ДНР "
2022-12-23,Парламент Татарстана принял закон о переименовании должности главы региона 
2022-12-23,В Кремле ответили на вопрос о достижении цели по демилитаризации Украины 
2022-12-23,В Кремле рассказали о возможной встрече Путина и Байдена 
2022-12-23,Бедрос Киркоров выступил на концерте в честь дня рождения Сталина 
2022-12-23,Совфед одобрил снижение платежей по микрозаймам 
2022-12-23,Мусоросортировочный комплекс в Мордовии начнут строить в 2023 году 
2022-12-23,Совфед одобрил закон о праве сбивать беспилотники 
2022-12-23,"Дисконт на нефть Urals снизится, уверен Новак "
2022-12-23,Цены на газ в Европе снизились до 935 долларов за тысячу кубов 
2022-12-23,"В Карелии умер ребенок, которого два года назад жестоко избил отец "
2022-12-23,"Калужский губернатор заявил, что молодежи должно быть комфортно в регионе "
2022-12-23,СФ разрешил лицам с двойным гражданством работать в госорганах до 2024 года 
2022-12-23,Евраев принял участие в заседании Госсовета по молодежной политике 
2022-12-23,"Решение по газовому хабу в Турции могут принять в 2023 году, заявил Новак "
2022-12-23,Пресс-конференция о преследовании церковнослужителей на Украине 
2022-12-23,Таджикистан разработает концепцию национальной обороны 
2022-12-23,Премьер попросила итальянцев на час в день становиться украинцами 
2022-12-23,В парламент Татарстана внесли проект о переименовании должности президента 
2022-12-23,"МИД КНР заявил, что ситуация с СOVID-19 в стране находится под контролем "
2022-12-23,В России за сутки госпитализировали 1192 заболевших COVID-19 
2022-12-23,"Новак рассказал, когда ожидать взлета цен на нефтепродукты в Европе "
2022-12-23,"От лимита цен на газ пострадают европейские поставщики, заявил Новак "
2022-12-23,В России по итогам 2022 года вырастет выработка и потребление электричества 
2022-12-23,"Путину доверяют более 78 процентов россиян, показал опрос ВЦИОМ "
2022-12-23,Бочкарев: более 85 тысяч москвичей переехали в дома по программе реновации 
2022-12-23,"Владелец TikTok признал, что данные пользователей были получены незаконно "
2022-12-23,Мурашко призвал усилить работу системы здравоохранения в каникулы 
2022-12-23,"Губернатор Приамурья исполнит два желания детей на ""Елке желаний"" в Москве "
2022-12-23,"Российские энергоресурсы будут востребованы в мире, заявил Новак "
2022-12-23,Жители новых регионов с 1 января смогут получить услуги по подбору работы 
2022-12-23,Украинские войска обстреляли Донецк пятью снарядами натовского калибра 
2022-12-23,В Марокко потушили пожар на газовом хранилище 
2022-12-23,В столице Пакистана прогремел взрыв 
2022-12-23,Украинские войска за сутки 64 раза обстреляли территорию ДНР 
2022-12-23,Более 300 жилых домов в ДНР и ЛНР восстановили московские коммунальщики 
2022-12-23,"Заммэра Ефимов: городской оператор реорганизует бывшую промзону ""Свиблово"" "
2022-12-23,Посол Кении прокомментировал присоединение Африканского союза к G20 
2022-12-23,"Два пассажира, пострадавшие в ДТП в Хабаровском крае, попали в реанимацию "
2022-12-23,Украинские войска обстреляли Донецк снарядами натовского калибра 
2022-12-23,В ДНР три мирных жителя погибли при обстрелах ВСУ за сутки 
2022-12-23,Запад в растерянности. Хаос выходит из-под контроля 
2022-12-23,Пельш о новом фильме: русский авангард сейчас очень востребован на Западе 
2022-12-23,"Заманить калачом, сбитнем и заедками: как активно отдохнуть в Коломне "
2022-12-23,Самосвал въехал в автобус в Хабаровском крае 
2022-12-23,"Встреча Моди и Путина планируется в следующем году, заявил посол Индии "
2022-12-23,Добыча газа в России упадет на 18-20 процентов по итогам 2022 года 
2022-12-23,"КНДР вновь обвинила США в нарушении ее суверенных прав, пишут СМИ "
2022-12-23,Новак назвал ответные меры России на введение потолка цен на нефть 
2022-12-23,Вклад в медицину будущего. О перспективах российского биобанкинга   
2022-12-23,Блинкен обсудил спецоперацию России на Украине с главой МИД КНР 
2022-12-23,"В ""Тинькофф"" рассказали о новом платежном стикере "
2022-12-23,В конгрессе США призвали возбудить четыре уголовных дела на Трампа 
2022-12-23,"Спецслужбы обнаружили в ЛНР схроны для диверсантов, сообщил источник "
2022-12-23,Ты приведешь нас к войне: в Сети осудили Дуду за слова о Зеленском 
2022-12-23,"Опрос показал, как россияне намерены распорядиться новогодней премией "
2022-12-23,Эксперты выявили 175 вредоносных пакетов в хранилище открытого ПО на Python 
2022-12-23,Морскую переправу между Сахалином и материком закроют на три дня 
2022-12-23,В Польше рассказали об утрате военного потенциала из-за поддержки Украины 
2022-12-23,"Эксперты рассказали, что делать пассажирам при внезапной отмене рейса "
2022-12-23,"Три льва пытались сбежать с базы ополченцев в Судане, пишут СМИ "
2022-12-23,"Коронавирус стал управляемым, заявила Ракова "
2022-12-23,Ветеран ВС США резко высказался о визите Зеленского в Вашингтон 
2022-12-23,Приморца будут судить за контрабанду леса в КНР на 636 миллионов рублей 
2022-12-23,Украинские боевики нанесли удар по Макеевке 
2022-12-23,МВД назвало сумму ущерба от преступлений в России за 11 месяцев 
2022-12-23,"Украинских военных могут обучать обращаться с ПВО Patriot в США, пишут СМИ "
2022-12-23,"Инвестстратег рассказал, когда прекратится падение рубля "
2022-12-23,В восточных регионах Украины звучит воздушная тревога 
2022-12-23,Оппозиция Венесуэлы проголосовала против временного правительства Гуаидо 
2022-12-23,СК в Саратове проверит инфраструктуру участков для многодетных 
2022-12-22,Додон: Молдавия должна выстраивать стратегические отношения с Россией 
2022-12-22,"Очередная партия ЗРК ""Тор-М2К"" прибыла в Белоруссию "
2022-12-22,Экс-президент Молдавии Додон допустил создание новой партии 
2022-12-22,Украинские войска выпустили семь натовских снарядов по Донецку 
2022-12-22,Сенат США утвердил проект федерального бюджета на 2023 год 
2022-12-22,"Немецкие ""Зеленые"" требуют у Шольца танков для Украины "
2022-12-22,СК проверит власти Саратовской области после жалобы местной жительницы 
2022-12-22,Это не благотворительная акция. В США поразились наглости Зеленского 
2022-12-22,В Молдавии анонсировали поправки в УК за подстрекательство к сепаратизму 
2022-12-22,Украинские боевики обстреляли Донецк 
2022-12-22,Сенат США разрешил передачу активов российских бизнесменов в пользу Украины 
2022-12-22,Подозреваемая в коррупции экс-замглавы Европарламента останется под стражей 
2022-12-22,Немецкий политик оскорбил украинских беженцев и устроил скандал 
2022-12-22,"США поднимут в СБ ООН вопрос о ""нарушениях резолюций"" Россией и КНДР "
2022-12-22,Татарстан признан лидером по цифровой трансформации в России 
2022-12-22,В Днепропетровской области Украины объявили воздушную тревогу 
2022-12-22,В США усомнились в честности Украины 
2022-12-22,Песков не стал раскрывать содержание новогоднего поздравления Путина 
2022-12-22,Путин: проявляющих героизм в ходе СВО будут ставить в пример всему обществу 
2022-12-22,"Минниханов в Москве снял с ""Елки желаний"" открытки троих детей "
2022-12-22,В Саратове школьников отправят на досрочные каникулы из-за ОРВИ 
2022-12-22,Путин потребовал повышать уровень реальной заработной платы россиян 
2022-12-22,"Под Саратовом автомобиль сбил двух пешеходов на зебре, один из них погиб "
2022-12-22,"В МО расширили список льготников, претендующих на бесплатную газификацию "
2022-12-22,"В Москве прошло открытие выставки ""РОССИЯ. ГОРИЗОНТЫ"" "
2022-12-22,"Путин заявил, что народы России и Украины удалось разобщить "
2022-12-22,Путин планирует встретить Новый год в кругу близких 
2022-12-22,"Путин заявил, что Запад привык воровать и грабить другие страны "
2022-12-22,Путин отметил надежную работу российских банков 
2022-12-22,"Европа продолжает брать деньги за транзит российского газа, заявил Путин "
2022-12-22,"Путин сообщил, что каждый день встречается с военными "
2022-12-22,"Сальников и Пелевин вышли в финал премии для фантастов ""Новые горизонты"" "
2022-12-22,"Все вооруженные конфликты завершаются переговорами, подчеркнул Путин "
2022-12-22,"Путин заявил, что Россия выбила много советской техники на Украине "
2022-12-22,Путин назвал устойчивый финансовый рынок результатом работы правительства 
2022-12-22,"Россия стремится завершить украинский конфликт, заявил Путин "
2022-12-22,"Текущая ситуация не помешает реализации планов на будущее, заявил Путин "
